is_risky,label,entityname,nature,firstcreditx_year,cred_level_desc,threshold,risk_flag,check_result,corp_oper_income_24m,corp_oper_expns_24m,corp_oper_diff_12m,corp_oper_diff_24m,taxes_level_cd,corp_curr_fin_asset_bal,corp_curr_fin_asset_bal_diff,total_avg_depst_bal_3m,n_ph_num4,n_ph_amt4,n_ph_amt2,unpayoff_mg_ratio,rep_overdue_cnt_3m,rep_overdue_cnt_24m,corp_curr_lab_amt,flag_8,creditamt,amtused,n_u0343_hit,n_ph_amt1_hit,n_ph_amt2_hit,tj_result,rep_crdt_card_limit,rep_crdt_card_avg_limit_6m,rep_crdt_card_used_limit,reserve_8,down30,industry_cd_desc,branchname
False,否,测试企业_0_优质有限公司,国有,2021,AA,0.1113,否,"贷后检查：企业近期经营正常，无异常风险信号。

贷后检查：企业订单量稳定，现金流充裕。",29982867.0,24197633.0,2860197,5785234,B,2640838,494742,226340,2,48186870,1452222,100%,0,0,0,否,6921012,1302558,未命中,未命中,未命中,正常,460079,195413,133634,否,否,计算机服务业,成都分行
False,否,测试企业_1_优质有限公司,民营,2014,AA,0.085,否,贷后检查：企业近期经营正常，无异常风险信号。,4701958.0,3196948.0,772071,1505010,A,3602208,208438,355213,1,10198224,3775518,100%,0,0,0,否,11748762,1462020,未命中,未命中,未命中,正常,444524,136608,150306,否,否,交通运输,深圳分行
False,否,测试企业_2_优质有限公司,外资,2020,AAA,0.1761,否,贷后检查：企业订单量稳定，现金流充裕。,21756310.0,17356264.0,2201262,4400046,B,6715316,1252707,264724,3,38253817,4585242,100%,0,0,0,否,8567621,2105761,未命中,未命中,未命中,正常,253677,103602,71084,否,否,计算机服务业,上海分行
False,否,测试企业_3_优质有限公司,民营,2010,A,0.0528,否,贷后检查：企业订单量稳定，现金流充裕。,39224284.0,28555844.0,5265903,10668440,B,3570313,1645217,431298,4,11204870,3291560,100%,0,0,0,否,18950287,4353947,未命中,未命中,未命中,正常,471571,194449,65628,否,否,交通运输,广州分行
False,否,测试企业_4_优质有限公司,民营,2012,AA,0.1602,否,贷后检查：企业订单量稳定，现金流充裕。,45080802.0,28022172.0,8462730,17058630,A,7025973,1476238,229936,3,39432384,1216546,100%,0,0,0,否,4657525,1100306,未命中,未命中,未命中,正常,332059,142622,43099,否,否,批发零售,广州分行
False,否,测试企业_5_优质有限公司,国有,2019,AA,0.1316,否,贷后检查：企业订单量稳定，现金流充裕。,30987237.0,21237643.0,4825317,9749594,A,2782693,1562856,461997,4,15147602,554568,100%,0,0,0,否,2401937,514234,未命中,未命中,未命中,正常,410875,117322,194340,否,否,餐饮业,上海分行
False,否,测试企业_6_优质有限公司,外资,2010,AA,0.058,否,"贷后检查：企业近期经营正常，无异常风险信号。

贷后检查：企业订单量稳定，现金流充裕。",26520116.0,17748786.0,4289089,8771330,A,8439559,701027,193071,3,44083618,2574062,100%,0,0,0,否,18636358,3604217,未命中,未命中,未命中,正常,331461,165104,73189,否,否,制造业,广州分行
False,否,测试企业_7_优质有限公司,国有,2017,AA,0.0811,否,贷后检查：企业订单量稳定，现金流充裕。,16043603.0,10897747.0,2563992,5145856,B,6852914,1578382,160318,2,17684787,2249650,100%,0,0,0,否,16397372,4151418,未命中,未命中,未命中,正常,382604,38331,138550,否,否,餐饮业,广州分行
False,否,测试企业_8_优质有限公司,外资,2014,AAA,0.1147,否,贷后检查：企业订单量稳定，现金流充裕。,21874563.0,18593706.0,1590407,3280857,A,9240936,1766085,406673,2,17693127,1269790,100%,0,0,0,否,10540803,3623909,未命中,未命中,未命中,正常,234132,47213,27468,否,否,餐饮业,上海分行
False,否,测试企业_9_优质有限公司,合资,2013,AA,0.093,否,贷后检查：企业近期经营正常，无异常风险信号。,13583699.0,11406209.0,1109803,2177490,A,6945576,827921,445382,2,47390605,997621,100%,0,0,0,否,10954165,3533321,未命中,未命中,未命中,正常,374711,48105,110580,否,否,餐饮业,上海分行
