is_risky,label,entityname,nature,firstcreditx_year,cred_level_desc,threshold,risk_flag,check_result,corp_oper_income_24m,corp_oper_expns_24m,corp_oper_diff_12m,corp_oper_diff_24m,taxes_level_cd,corp_curr_fin_asset_bal,corp_curr_fin_asset_bal_diff,total_avg_depst_bal_3m,n_ph_num4,n_ph_amt4,n_ph_amt2,unpayoff_mg_ratio,rep_overdue_cnt_3m,rep_overdue_cnt_24m,corp_curr_lab_amt,flag_8,creditamt,amtused,n_u0343_hit,n_ph_amt1_hit,n_ph_amt2_hit,tj_result,rep_crdt_card_limit,rep_crdt_card_avg_limit_6m,rep_crdt_card_used_limit,reserve_8,down30,industry_cd_desc,branchname
False,否,测试企业_0_优质有限公司,外资,2017,A,0.0965,否,贷后检查：企业订单量稳定，现金流充裕。,8939221.0,7626893.0,755577,1312328,B,5151446,420348,237747,2,27125342,4639185,100%,0,0,0,否,2008721,684983,未命中,未命中,未命中,正常,89480,21247,12214,否,否,建筑业,深圳分行
False,否,测试企业_1_优质有限公司,国有,2010,AA,0.1613,否,"贷后检查：企业近期经营正常，无异常风险信号。

贷后检查：企业订单量稳定，现金流充裕。",19588597.0,15875973.0,1903766,3712624,A,5301855,1920889,432218,2,16278495,2799815,100%,0,0,0,否,6281720,1023302,未命中,未命中,未命中,正常,321637,128306,93973,否,否,批发零售,深圳分行
False,否,测试企业_2_优质有限公司,国有,2014,A,0.0486,否,"贷后检查：企业近期经营正常，无异常风险信号。

贷后检查：企业订单量稳定，现金流充裕。",48068024.0,29564568.0,9204695,18503456,A,5300398,1906526,493502,2,46835200,3492931,100%,0,0,0,否,16431164,6071913,未命中,未命中,未命中,正常,386103,124376,51146,否,否,制造业,广州分行
False,否,测试企业_3_优质有限公司,外资,2015,AAA,0.1085,否,贷后检查：企业近期经营正常，无异常风险信号。,7033308.0,5214711.0,968293,1818597,B,8587819,1129300,499542,3,25089457,1035624,100%,0,0,0,否,3815043,1019158,未命中,未命中,未命中,正常,111160,41749,24831,否,否,批发零售,深圳分行
False,否,测试企业_4_优质有限公司,国有,2013,A,0.1068,否,贷后检查：企业订单量稳定，现金流充裕。,15590661.0,11180177.0,2204850,4410484,A,9483409,159395,56657,2,26880414,4737418,100%,0,0,0,否,14090990,3682927,未命中,未命中,未命中,正常,474294,144399,216719,否,否,批发零售,北京分行
False,否,测试企业_5_优质有限公司,合资,2011,AAA,0.1855,否,"贷后检查：企业近期经营正常，无异常风险信号。

贷后检查：企业订单量稳定，现金流充裕。",27737568.0,22562442.0,2687471,5175126,A,9171739,1946327,77499,3,32494962,4263451,100%,0,0,0,否,3340585,1195466,未命中,未命中,未命中,正常,384820,87590,145544,否,否,制造业,深圳分行
False,否,测试企业_6_优质有限公司,外资,2015,AA,0.0922,否,贷后检查：企业近期经营正常，无异常风险信号。,7035974.0,4634295.0,1218773,2401679,A,3425629,579753,114624,3,14060517,4906996,100%,0,0,0,否,9629972,1161499,未命中,未命中,未命中,正常,186657,72027,84240,否,否,交通运输,成都分行
False,否,测试企业_7_优质有限公司,外资,2016,A,0.0398,否,"贷后检查：企业订单量稳定，现金流充裕。

贷后检查：企业近期经营正常，无异常风险信号。",48479602.0,35409058.0,6544320,13070544,B,7982590,1755970,351990,1,10822341,4014901,100%,0,0,0,否,16938526,3049551,未命中,未命中,未命中,正常,171235,39486,79712,否,否,建筑业,深圳分行
False,否,测试企业_8_优质有限公司,外资,2019,AAA,0.1088,否,"贷后检查：企业订单量稳定，现金流充裕。

贷后检查：企业近期经营正常，无异常风险信号。",14817559.0,9770603.0,2442992,5046956,B,2109996,875763,81874,3,7645235,4009541,100%,0,0,0,否,3358513,1049471,未命中,未命中,未命中,正常,473785,86719,70905,否,否,建筑业,深圳分行
False,否,测试企业_9_优质有限公司,国有,2011,AAA,0.1178,否,贷后检查：企业订单量稳定，现金流充裕。,46879490.0,40283581.0,3385628,6595909,A,9168522,175795,362107,3,19697729,2758809,100%,0,0,0,否,15182473,3883110,未命中,未命中,未命中,正常,311075,95811,64286,否,否,建筑业,上海分行
False,否,测试企业_10_优质有限公司,国有,2013,A,0.0496,否,"贷后检查：企业近期经营正常，无异常风险信号。

贷后检查：企业订单量稳定，现金流充裕。",21091831.0,16061251.0,2599336,5030580,A,6056133,1061352,374659,4,24870547,1637142,100%,0,0,0,否,15021931,4150164,未命中,未命中,未命中,正常,70340,31568,33348,否,否,交通运输,广州分行
False,否,测试企业_11_优质有限公司,外资,2011,AA,0.1835,否,贷后检查：企业订单量稳定，现金流充裕。,42544716.0,28277007.0,7062231,14267709,B,2788731,1438215,379773,3,38010501,1833060,100%,0,0,0,否,8317435,2567422,未命中,未命中,未命中,正常,354654,89983,110657,否,否,建筑业,深圳分行
False,否,测试企业_12_优质有限公司,国有,2018,AA,0.1854,否,"贷后检查：企业订单量稳定，现金流充裕。

贷后检查：企业近期经营正常，无异常风险信号。",46056128.0,30649441.0,7667599,15406687,A,5923980,1722603,104587,3,35270441,589183,100%,0,0,0,否,18924370,3628593,未命中,未命中,未命中,正常,372714,46844,167714,否,否,交通运输,成都分行
False,否,测试企业_13_优质有限公司,民营,2017,AA,0.1748,否,贷后检查：企业订单量稳定，现金流充裕。,17625571.0,14005820.0,1741424,3619751,B,9572986,723389,250812,3,24405821,1509600,100%,0,0,0,否,4044309,746624,未命中,未命中,未命中,正常,277714,31049,88159,否,否,批发零售,成都分行
False,否,测试企业_14_优质有限公司,国有,2019,A,0.1067,否,贷后检查：企业近期经营正常，无异常风险信号。,31721597.0,23848588.0,3926682,7873009,A,8750787,1225418,489129,3,28027668,813738,100%,0,0,0,否,12792137,1409832,未命中,未命中,未命中,正常,144325,61588,61602,否,否,批发零售,深圳分行
False,否,测试企业_15_优质有限公司,合资,2021,AAA,0.0237,否,贷后检查：企业订单量稳定，现金流充裕。,10120235.0,8376866.0,910996,1743369,A,9853957,289735,127635,4,14751178,4010024,100%,0,0,0,否,7211536,1391012,未命中,未命中,未命中,正常,483362,203125,125022,否,否,批发零售,广州分行
False,否,测试企业_16_优质有限公司,外资,2022,AA,0.047,否,"贷后检查：企业订单量稳定，现金流充裕。

贷后检查：企业近期经营正常，无异常风险信号。",10362663.0,8510555.0,890204,1852108,A,9213011,1764867,498507,1,7612540,4419675,100%,0,0,0,否,18571386,6676547,未命中,未命中,未命中,正常,176565,41241,84498,否,否,制造业,深圳分行
False,否,测试企业_17_优质有限公司,民营,2010,AAA,0.0946,否,贷后检查：企业订单量稳定，现金流充裕。,46277089.0,36911522.0,4620441,9365567,B,6872445,980597,107811,2,32346312,1381952,100%,0,0,0,否,2739537,370231,未命中,未命中,未命中,正常,218152,52324,60774,否,否,计算机服务业,深圳分行
False,否,测试企业_18_优质有限公司,民营,2021,AA,0.1665,否,"贷后检查：企业订单量稳定，现金流充裕。

贷后检查：企业近期经营正常，无异常风险信号。",1793302.0,1574417.0,47160,218885,A,2494906,1766642,403476,3,38512897,3018614,100%,0,0,0,否,9479729,3788445,未命中,未命中,未命中,正常,324260,133337,63400,否,否,建筑业,北京分行
True,是,测试企业_19_风险有限公司,合资,2011,C,0.8518,是,"贷后检查：企业实际控制人失联，风险陡增。

贷后检查：企业涉及诉讼，已冻结部分账户。

贷后检查：企业存在延迟付息情况，需关注。",25460957.0,34981216.0,-4719073,-9520259,D,12018,-400149,979,10,16904299,2469670,53%,5,4,377820,是,6710698,6688808,未命中,命中,命中,高风险,69244,68317,63509,否,否,制造业,上海分行
False,否,测试企业_20_优质有限公司,合资,2021,A,0.0234,否,"贷后检查：企业订单量稳定，现金流充裕。

贷后检查：企业近期经营正常，无异常风险信号。",41239579.0,34670533.0,3233975,6569046,A,2559337,1585573,331758,3,38745683,3986397,100%,0,0,0,否,9673788,2509612,未命中,未命中,未命中,正常,55916,24635,11868,否,否,建筑业,成都分行
False,否,测试企业_21_优质有限公司,合资,2021,AAA,0.1905,否,"贷后检查：企业近期经营正常，无异常风险信号。

贷后检查：企业订单量稳定，现金流充裕。",13716119.0,10628138.0,1542965,3087981,A,6628131,1091622,478162,4,35971779,1618402,100%,0,0,0,否,14614184,4898742,未命中,未命中,未命中,正常,424321,86699,188451,否,否,建筑业,深圳分行
False,否,测试企业_22_优质有限公司,国有,2020,AA,0.0119,否,"贷后检查：企业订单量稳定，现金流充裕。

贷后检查：企业近期经营正常，无异常风险信号。",13525933.0,10697287.0,1331121,2828646,A,7257071,1518082,96691,1,47899279,3667539,100%,0,0,0,否,6401448,1571240,未命中,未命中,未命中,正常,314533,102051,65060,否,否,交通运输,北京分行
