is_risky,label,entityname,nature,firstcreditx_year,cred_level_desc,threshold,risk_flag,check_result,corp_oper_income_24m,corp_oper_expns_24m,corp_oper_diff_12m,corp_oper_diff_24m,taxes_level_cd,corp_curr_fin_asset_bal,corp_curr_fin_asset_bal_diff,total_avg_depst_bal_3m,n_ph_num4,n_ph_amt4,n_ph_amt2,unpayoff_mg_ratio,rep_overdue_cnt_3m,rep_overdue_cnt_24m,corp_curr_lab_amt,flag_8,creditamt,amtused,n_u0343_hit,n_ph_amt1_hit,n_ph_amt2_hit,tj_result,rep_crdt_card_limit,rep_crdt_card_avg_limit_6m,rep_crdt_card_used_limit,reserve_8,down30,industry_cd_desc,branchname
False,否,测试企业_0_优质有限公司,国有,2019,AAA,0.1744,否,"贷后检查：企业订单量稳定，现金流充裕。

贷后检查：企业近期经营正常，无异常风险信号。",48242665.0,37633951.0,5280552,10608714,A,2839668,821754,73425,3,28307530,2507930,100%,0,0,0,否,18592413,6603400,未命中,未命中,未命中,正常,435928,85385,155504,否,否,建筑业,广州分行
False,否,测试企业_1_优质有限公司,国有,2022,AAA,0.1774,否,"贷后检查：企业近期经营正常，无异常风险信号。

贷后检查：企业订单量稳定，现金流充裕。",37256935.0,25160670.0,6099395,12096265,B,8984516,1589548,86770,4,23363804,2330800,100%,0,0,0,否,10259844,1688631,未命中,未命中,未命中,正常,90493,33900,17598,否,否,计算机服务业,北京分行
False,否,测试企业_2_优质有限公司,国有,2012,AA,0.0506,否,"贷后检查：企业近期经营正常，无异常风险信号。

贷后检查：企业订单量稳定，现金流充裕。",11093121.0,9723792.0,661315,1369329,A,8127111,551791,496895,2,44892896,3879419,100%,0,0,0,否,9645461,2924517,未命中,未命中,未命中,正常,461858,87383,224368,否,否,交通运输,北京分行
False,否,测试企业_3_优质有限公司,民营,2018,AAA,0.0712,否,"贷后检查：企业近期经营正常，无异常风险信号。

贷后检查：企业订单量稳定，现金流充裕。",41589778.0,35491656.0,2997139,6098122,A,8995703,240077,265232,2,25759477,4516929,100%,0,0,0,否,9652126,3644880,未命中,未命中,未命中,正常,273367,36022,45580,否,否,餐饮业,北京分行
False,否,测试企业_4_优质有限公司,合资,2015,A,0.1021,否,贷后检查：企业订单量稳定，现金流充裕。,44682568.0,38217521.0,3132887,6465047,B,3673409,1692626,300862,4,7350026,1594593,100%,0,0,0,否,10203896,3764697,未命中,未命中,未命中,正常,126424,56268,51033,否,否,计算机服务业,北京分行
False,否,测试企业_5_优质有限公司,合资,2017,AA,0.0224,否,贷后检查：企业订单量稳定，现金流充裕。,23819861.0,21283489.0,1213650,2536372,B,2539096,1851648,378440,4,26330101,1744728,100%,0,0,0,否,1403113,280601,未命中,未命中,未命中,正常,182338,59512,54402,否,否,餐饮业,上海分行
False,否,测试企业_6_优质有限公司,合资,2019,AAA,0.0116,否,贷后检查：企业订单量稳定，现金流充裕。,5756335.0,4179453.0,877213,1576882,A,4366742,832179,239308,2,7189113,1614163,100%,0,0,0,否,16352736,5481954,未命中,未命中,未命中,正常,101022,37027,26570,否,否,批发零售,北京分行
False,否,测试企业_7_优质有限公司,民营,2013,A,0.1147,否,贷后检查：企业近期经营正常，无异常风险信号。,31387423.0,25358978.0,3080551,6028445,A,3202590,1801429,390593,2,5882656,2162737,100%,0,0,0,否,17335538,4790521,未命中,未命中,未命中,正常,483267,72233,95622,否,否,建筑业,广州分行
False,否,测试企业_8_优质有限公司,民营,2019,A,0.1689,否,贷后检查：企业近期经营正常，无异常风险信号。,11465113.0,9561422.0,904169,1903691,A,8275033,441157,89475,2,7786933,1908141,100%,0,0,0,否,16422073,5168647,未命中,未命中,未命中,正常,155893,44663,61116,否,否,制造业,北京分行
False,否,测试企业_9_优质有限公司,合资,2017,AA,0.0193,否,"贷后检查：企业近期经营正常，无异常风险信号。

贷后检查：企业订单量稳定，现金流充裕。",39264753.0,25317636.0,6907700,13947117,B,7014289,1603500,244217,2,32288911,1839072,100%,0,0,0,否,5734880,1842825,未命中,未命中,未命中,正常,238895,94607,44629,否,否,计算机服务业,深圳分行
False,否,测试企业_10_优质有限公司,民营,2011,A,0.1035,否,"贷后检查：企业近期经营正常，无异常风险信号。

贷后检查：企业订单量稳定，现金流充裕。",48841521.0,40847910.0,4068857,7993611,A,6613415,1319319,370117,4,47730864,4664899,100%,0,0,0,否,6867306,1128798,未命中,未命中,未命中,正常,188678,93307,83544,否,否,建筑业,上海分行
False,否,测试企业_11_优质有限公司,合资,2020,AA,0.1789,否,"贷后检查：企业近期经营正常，无异常风险信号。

贷后检查：企业订单量稳定，现金流充裕。",8585925.0,7571078.0,591069,1014847,A,6232381,118628,237992,4,32219777,3884587,100%,0,0,0,否,15076807,4364917,未命中,未命中,未命中,正常,459553,200893,63740,否,否,批发零售,深圳分行
False,否,测试企业_12_优质有限公司,合资,2011,AAA,0.173,否,贷后检查：企业订单量稳定，现金流充裕。,46203450.0,36302789.0,4921548,9900661,B,9978187,1305485,152367,1,7046632,3092248,100%,0,0,0,否,13792822,5499030,未命中,未命中,未命中,正常,387435,43003,169171,否,否,制造业,北京分行
False,否,测试企业_13_优质有限公司,民营,2017,A,0.1952,否,"贷后检查：企业近期经营正常，无异常风险信号。

贷后检查：企业订单量稳定，现金流充裕。",46734247.0,41821322.0,2469638,4912925,B,1238128,1338747,255988,2,41440697,3289771,100%,0,0,0,否,13872734,4390608,未命中,未命中,未命中,正常,262585,94042,32619,否,否,建筑业,北京分行
