is_risky,label,entityname,nature,firstcreditx_year,cred_level_desc,threshold,risk_flag,check_result,corp_oper_income_24m,corp_oper_expns_24m,corp_oper_diff_12m,corp_oper_diff_24m,taxes_level_cd,corp_curr_fin_asset_bal,corp_curr_fin_asset_bal_diff,total_avg_depst_bal_3m,n_ph_num4,n_ph_amt4,n_ph_amt2,unpayoff_mg_ratio,rep_overdue_cnt_3m,rep_overdue_cnt_24m,corp_curr_lab_amt,flag_8,creditamt,amtused,n_u0343_hit,n_ph_amt1_hit,n_ph_amt2_hit,tj_result,rep_crdt_card_limit,rep_crdt_card_avg_limit_6m,rep_crdt_card_used_limit,reserve_8,down30,industry_cd_desc,branchname
False,否,测试企业_0_优质有限公司,合资,2015,AAA,0.1395,否,贷后检查：企业订单量稳定，现金流充裕。,18218643.0,12808178.0,2629487,5410465,A,2578899,1933136,113541,4,6654764,3332068,100%,0,0,0,否,16157656,5390777,未命中,未命中,未命中,正常,365702,154947,161269,否,否,建筑业,深圳分行
True,是,测试企业_1_风险有限公司,民营,2014,C,0.6994,是,贷后检查：企业涉及诉讼，已冻结部分账户。,3159363.0,4014958.0,-462951,-855595,C,3832,-100552,3078,5,25432393,625038,69%,3,8,211650,是,12153781,11142749,命中,命中,命中,高风险,112765,97360,109233,是,是,批发零售,广州分行
True,是,测试企业_2_风险有限公司,外资,2015,B,0.5299,是,"贷后检查：企业库存积压，销售回款放缓。

贷后检查：企业涉及诉讼，已冻结部分账户。

贷后检查：企业存在延迟付息情况，需关注。",27934030.0,33774310.0,-3018352,-5840280,D,10740,-152575,3543,9,44532587,1122287,58%,1,10,974375,是,11553119,10723111,未命中,命中,未命中,高风险,421115,355787,392375,否,否,计算机服务业,上海分行
False,否,测试企业_3_优质有限公司,民营,2017,A,0.0944,否,"贷后检查：企业订单量稳定，现金流充裕。

贷后检查：企业近期经营正常，无异常风险信号。",49010187.0,43626712.0,2629422,5383475,A,8435083,338666,249913,3,41710347,1543186,100%,0,0,0,否,4282865,1264273,未命中,未命中,未命中,正常,120597,35594,49553,否,否,批发零售,广州分行
False,否,测试企业_4_优质有限公司,合资,2022,AAA,0.0954,否,"贷后检查：企业近期经营正常，无异常风险信号。

贷后检查：企业订单量稳定，现金流充裕。",39959691.0,30731517.0,4561196,9228174,B,1864480,451454,345948,1,32204466,1002413,100%,0,0,0,否,9136052,3604308,未命中,未命中,未命中,正常,389182,177134,55212,否,否,建筑业,上海分行
False,否,测试企业_5_优质有限公司,国有,2022,AAA,0.116,否,"贷后检查：企业订单量稳定，现金流充裕。

贷后检查：企业近期经营正常，无异常风险信号。",16949807.0,12578064.0,2259560,4371743,A,3991557,1999213,131807,2,14603063,3623103,100%,0,0,0,否,11596822,3962221,未命中,未命中,未命中,正常,235778,29851,41402,否,否,交通运输,深圳分行
False,否,测试企业_6_优质有限公司,外资,2015,AAA,0.038,否,"贷后检查：企业订单量稳定，现金流充裕。

贷后检查：企业近期经营正常，无异常风险信号。",8997598.0,7474018.0,825701,1523580,B,4390442,1404025,200720,4,43551174,2286520,100%,0,0,0,否,2715186,378428,未命中,未命中,未命中,正常,447167,175995,214118,否,否,计算机服务业,北京分行
False,否,测试企业_7_优质有限公司,国有,2015,AA,0.0806,否,贷后检查：企业订单量稳定，现金流充裕。,6504800.0,4293525.0,1043078,2211275,A,7548356,1407982,365602,2,26793194,1427820,100%,0,0,0,否,10959115,4216655,未命中,未命中,未命中,正常,300584,52743,81107,否,否,餐饮业,上海分行
False,否,测试企业_8_优质有限公司,民营,2016,A,0.1694,否,贷后检查：企业近期经营正常，无异常风险信号。,32003931.0,24804608.0,3649840,7199323,A,5974655,551705,258788,3,8414706,4514456,100%,0,0,0,否,11614611,3235943,未命中,未命中,未命中,正常,474681,160493,198582,否,否,制造业,北京分行
False,否,测试企业_9_优质有限公司,合资,2012,AAA,0.0893,否,"贷后检查：企业订单量稳定，现金流充裕。

贷后检查：企业近期经营正常，无异常风险信号。",33388653.0,21075236.0,6158574,12313417,B,5180108,1227492,290968,4,18680607,1265610,100%,0,0,0,否,12551960,4301901,未命中,未命中,未命中,正常,154741,49439,41549,否,否,交通运输,北京分行
