is_risky,label,entityname,nature,firstcreditx_year,cred_level_desc,threshold,risk_flag,check_result,corp_oper_income_24m,corp_oper_expns_24m,corp_oper_diff_12m,corp_oper_diff_24m,taxes_level_cd,corp_curr_fin_asset_bal,corp_curr_fin_asset_bal_diff,total_avg_depst_bal_3m,n_ph_num4,n_ph_amt4,n_ph_amt2,unpayoff_mg_ratio,rep_overdue_cnt_3m,rep_overdue_cnt_24m,corp_curr_lab_amt,flag_8,creditamt,amtused,n_u0343_hit,n_ph_amt1_hit,n_ph_amt2_hit,tj_result,rep_crdt_card_limit,rep_crdt_card_avg_limit_6m,rep_crdt_card_used_limit,reserve_8,down30,industry_cd_desc,branchname
False,否,测试企业_0_优质有限公司,合资,2022,A,0.1078,否,贷后检查：企业近期经营正常，无异常风险信号。,5494829.0,3977321.0,767100,1517508,A,7018923,783582,77907,1,34188446,4382806,100%,0,0,0,否,13959904,2046950,未命中,未命中,未命中,正常,494136,230579,126241,否,否,制造业,广州分行
True,是,测试企业_1_风险有限公司,外资,2016,C,0.5541,是,"贷后检查：企业存在延迟付息情况，需关注。

贷后检查：企业涉及诉讼，已冻结部分账户。",46891420.0,54179098.0,-3660283,-7287678,C,27399,-18166,1610,5,33035432,1737422,52%,2,5,444009,是,15116270,12566271,命中,命中,命中,高风险,209598,201214,190969,是,是,制造业,成都分行
False,否,测试企业_2_优质有限公司,外资,2014,AA,0.0242,否,贷后检查：企业订单量稳定，现金流充裕。,6601475.0,5392577.0,676702,1208898,B,4593508,1534572,305974,1,36771084,1571007,100%,0,0,0,否,4038238,901468,未命中,未命中,未命中,正常,489553,194490,82319,否,否,计算机服务业,北京分行
False,否,测试企业_3_优质有限公司,合资,2011,AAA,0.1868,否,"贷后检查：企业近期经营正常，无异常风险信号。

贷后检查：企业订单量稳定，现金流充裕。",24086170.0,20186353.0,1924346,3899817,B,4579287,1869928,113342,4,41251781,2228351,100%,0,0,0,否,16145909,5609648,未命中,未命中,未命中,正常,282298,106580,86234,否,否,餐饮业,上海分行
False,否,测试企业_4_优质有限公司,合资,2013,A,0.1657,否,"贷后检查：企业近期经营正常，无异常风险信号。

贷后检查：企业订单量稳定，现金流充裕。",30694454.0,26863676.0,2004227,3830778,B,9486741,894251,101286,3,43198098,4658048,100%,0,0,0,否,10157081,1550761,未命中,未命中,未命中,正常,472694,54034,189867,否,否,餐饮业,深圳分行
False,否,测试企业_5_优质有限公司,民营,2019,AAA,0.0594,否,"贷后检查：企业订单量稳定，现金流充裕。

贷后检查：企业近期经营正常，无异常风险信号。",14749956.0,12193847.0,1273076,2556109,A,3222871,1055301,156734,4,47854833,509962,100%,0,0,0,否,6155929,2288454,未命中,未命中,未命中,正常,472815,155524,108338,否,否,制造业,北京分行
True,是,测试企业_6_风险有限公司,国有,2018,B,0.634,是,"贷后检查：企业实际控制人失联，风险陡增。

贷后检查：企业存在延迟付息情况，需关注。",17980028.0,21954486.0,-1967901,-3974458,C,47012,-276716,3382,5,44698035,2111757,56%,1,5,181926,是,5453264,5359691,命中,未命中,命中,高风险,364156,345486,336689,否,是,计算机服务业,广州分行
True,是,测试企业_7_风险有限公司,合资,2021,C,0.5134,是,贷后检查：企业实际控制人失联，风险陡增。,14815012.0,13350275.0,662497,1464737,D,39848,-248755,1975,10,5358494,583812,55%,1,9,488795,是,14890345,13064210,命中,未命中,命中,高风险,278419,222969,228597,是,否,交通运输,深圳分行
True,是,测试企业_8_风险有限公司,国有,2010,CC,0.8084,是,"贷后检查：企业涉及诉讼，已冻结部分账户。

贷后检查：企业实际控制人失联，风险陡增。",29189656.0,36087313.0,-3367489,-6897657,D,32351,-89999,333,8,16278495,2892242,66%,1,4,281129,是,19759253,16897225,未命中,命中,命中,高风险,149813,144691,130876,是,是,制造业,深圳分行
True,是,测试企业_9_风险有限公司,国有,2017,C,0.5353,是,贷后检查：企业库存积压，销售回款放缓。,26067838.0,34269293.0,-4174537,-8201455,C,5744,-314925,1485,5,46779451,4631523,74%,4,7,721663,是,17747082,17551930,命中,命中,未命中,高风险,140799,132334,135881,否,否,餐饮业,深圳分行
False,否,测试企业_10_优质有限公司,民营,2017,A,0.1936,否,"贷后检查：企业近期经营正常，无异常风险信号。

贷后检查：企业订单量稳定，现金流充裕。",2410052.0,1868059.0,210579,541993,A,5918789,1504969,155920,2,42248954,4519673,100%,0,0,0,否,15070131,3072478,未命中,未命中,未命中,正常,399141,173097,108161,否,否,制造业,北京分行
False,否,测试企业_11_优质有限公司,合资,2011,AAA,0.0397,否,"贷后检查：企业近期经营正常，无异常风险信号。

贷后检查：企业订单量稳定，现金流充裕。",6226031.0,5460220.0,331546,765811,A,2311743,1329763,92388,2,5350083,2279494,100%,0,0,0,否,16905626,4164522,未命中,未命中,未命中,正常,321982,144523,139203,否,否,交通运输,深圳分行
True,是,测试企业_12_风险有限公司,合资,2020,B,0.8192,是,贷后检查：企业涉及诉讼，已冻结部分账户。,27227927.0,27517955.0,-175495,-290028,C,10920,-40783,1504,5,13367810,967780,69%,3,7,413659,是,7356108,6627389,未命中,命中,命中,高风险,374713,329663,317399,否,是,交通运输,深圳分行
False,否,测试企业_13_优质有限公司,外资,2013,A,0.1731,否,贷后检查：企业近期经营正常，无异常风险信号。,30397800.0,24844269.0,2701560,5553531,B,4617127,1102812,58192,1,11710161,3785514,100%,0,0,0,否,2515699,361316,未命中,未命中,未命中,正常,190175,43443,39018,否,否,制造业,北京分行
False,否,测试企业_14_优质有限公司,国有,2019,A,0.0254,否,"贷后检查：企业近期经营正常，无异常风险信号。

贷后检查：企业订单量稳定，现金流充裕。",48644223.0,41077680.0,3695245,7566543,A,4160449,364582,404302,3,29929941,1694894,100%,0,0,0,否,1373494,396866,未命中,未命中,未命中,正常,497045,230695,198168,否,否,交通运输,上海分行
False,否,测试企业_15_优质有限公司,民营,2014,AAA,0.1742,否,"贷后检查：企业订单量稳定，现金流充裕。

贷后检查：企业近期经营正常，无异常风险信号。",47896279.0,39591458.0,4125159,8304821,A,2910895,1928694,492774,1,10314695,2567457,100%,0,0,0,否,17084921,6584493,未命中,未命中,未命中,正常,280560,85616,110816,否,否,制造业,北京分行
False,否,测试企业_16_优质有限公司,民营,2011,A,0.1074,否,贷后检查：企业订单量稳定，现金流充裕。,37328705.0,33494889.0,1967599,3833816,A,6975769,1983121,357213,1,35187330,4439501,100%,0,0,0,否,6327743,1564040,未命中,未命中,未命中,正常,297207,90811,37658,否,否,餐饮业,深圳分行
False,否,测试企业_17_优质有限公司,国有,2011,AA,0.1677,否,贷后检查：企业近期经营正常，无异常风险信号。,46739965.0,41131290.0,2713592,5608675,A,1133625,830557,390807,3,42534303,3739854,100%,0,0,0,否,17489551,6985386,未命中,未命中,未命中,正常,497060,150319,135996,否,否,建筑业,深圳分行
False,否,测试企业_18_优质有限公司,民营,2013,AAA,0.1601,否,"贷后检查：企业订单量稳定，现金流充裕。

贷后检查：企业近期经营正常，无异常风险信号。",47197054.0,29601481.0,8889910,17595573,A,7447132,533589,209642,1,27492778,1183523,100%,0,0,0,否,11105747,2816317,未命中,未命中,未命中,正常,134692,31909,16670,否,否,餐饮业,上海分行
False,否,测试企业_19_优质有限公司,合资,2019,A,0.0716,否,"贷后检查：企业订单量稳定，现金流充裕。

贷后检查：企业近期经营正常，无异常风险信号。",36625814.0,31981470.0,2287170,4644344,A,6155910,1244578,84468,4,27701307,4450811,100%,0,0,0,否,13958798,4101833,未命中,未命中,未命中,正常,453673,195652,108963,否,否,交通运输,广州分行
False,否,测试企业_20_优质有限公司,外资,2015,A,0.1586,否,贷后检查：企业近期经营正常，无异常风险信号。,42424993.0,26469473.0,8037303,15955520,A,9016375,1588879,200117,3,8670593,3604167,100%,0,0,0,否,16230057,1793645,未命中,未命中,未命中,正常,349060,127438,94432,否,否,交通运输,成都分行
False,否,测试企业_21_优质有限公司,民营,2022,A,0.0461,否,贷后检查：企业订单量稳定，现金流充裕。,17611616.0,12321182.0,2556135,5290434,A,9076498,844718,497478,2,15495631,3291591,100%,0,0,0,否,3948265,520770,未命中,未命中,未命中,正常,432586,199758,52651,否,否,制造业,成都分行
True,是,测试企业_22_风险有限公司,民营,2013,CC,0.7244,是,"贷后检查：企业涉及诉讼，已冻结部分账户。

贷后检查：企业库存积压，销售回款放缓。

贷后检查：企业存在延迟付息情况，需关注。",10564670.0,14844852.0,-2217157,-4280182,C,21542,-321519,1112,8,22720732,1289093,52%,5,4,937137,是,12555567,10493817,未命中,未命中,命中,高风险,83736,71098,78453,否,是,制造业,北京分行
True,是,测试企业_23_风险有限公司,外资,2018,B,0.6882,是,"贷后检查：企业实际控制人失联，风险陡增。

贷后检查：企业库存积压，销售回款放缓。",24251389.0,25916627.0,-912565,-1665238,D,38333,-224309,436,8,23092366,1675313,60%,4,8,616446,是,4464187,3619193,未命中,未命中,命中,高风险,91019,83908,85032,是,否,建筑业,上海分行
False,否,测试企业_24_优质有限公司,合资,2022,AA,0.0805,否,贷后检查：企业近期经营正常，无异常风险信号。,35439611.0,23657531.0,5811875,11782080,B,3500141,273315,321573,4,7743174,4878615,100%,0,0,0,否,13058104,4382818,未命中,未命中,未命中,正常,400673,59968,174044,否,否,批发零售,广州分行
True,是,测试企业_25_风险有限公司,民营,2022,CC,0.8375,是,"贷后检查：企业存在延迟付息情况，需关注。

贷后检查：企业涉及诉讼，已冻结部分账户。

贷后检查：企业实际控制人失联，风险陡增。",49499325.0,54989845.0,-2748607,-5490520,D,44930,-325153,1314,5,46373014,3582966,55%,5,5,226612,是,6287093,6084647,未命中,命中,未命中,高风险,452432,433984,427537,否,是,餐饮业,成都分行
False,否,测试企业_26_优质有限公司,外资,2014,AAA,0.1963,否,贷后检查：企业近期经营正常，无异常风险信号。,48237509.0,29412576.0,9421184,18824933,B,4340170,534608,404889,3,46512870,3768603,100%,0,0,0,否,18592088,3509479,未命中,未命中,未命中,正常,215914,64520,46710,否,否,制造业,深圳分行
True,是,测试企业_27_风险有限公司,民营,2022,B,0.857,是,"贷后检查：企业库存积压，销售回款放缓。

贷后检查：企业实际控制人失联，风险陡增。

贷后检查：企业涉及诉讼，已冻结部分账户。",5504725.0,7661803.0,-1109387,-2157078,D,35682,-205728,4322,8,23318737,1917626,54%,2,9,929326,是,12648052,10907293,未命中,命中,命中,高风险,156298,150887,151803,是,否,建筑业,北京分行
False,否,测试企业_28_优质有限公司,民营,2019,AA,0.0552,否,贷后检查：企业近期经营正常，无异常风险信号。,24185538.0,19698867.0,2214585,4486671,A,7244367,1326841,130054,2,36749337,3518215,100%,0,0,0,否,12171353,3933505,未命中,未命中,未命中,正常,333226,108187,51385,否,否,制造业,成都分行
False,否,测试企业_29_优质有限公司,合资,2022,A,0.196,否,"贷后检查：企业近期经营正常，无异常风险信号。

贷后检查：企业订单量稳定，现金流充裕。",10148368.0,6575244.0,1794358,3573124,A,2129441,194844,262310,2,32089480,1302060,100%,0,0,0,否,15917507,5405031,未命中,未命中,未命中,正常,63605,22636,14648,否,否,餐饮业,广州分行
False,否,测试企业_30_优质有限公司,民营,2015,AA,0.1202,否,贷后检查：企业近期经营正常，无异常风险信号。,44113904.0,33213062.0,5485807,10900842,B,5009466,1997066,306800,4,41031481,2635133,100%,0,0,0,否,10029859,2464364,未命中,未命中,未命中,正常,231990,115475,28840,否,否,餐饮业,成都分行
False,否,测试企业_31_优质有限公司,民营,2012,AAA,0.1638,否,贷后检查：企业近期经营正常，无异常风险信号。,10450781.0,6349054.0,1995874,4101727,B,8593446,750980,237872,1,14062514,4007653,100%,0,0,0,否,4275203,491119,未命中,未命中,未命中,正常,445242,167800,97511,否,否,建筑业,成都分行
False,否,测试企业_32_优质有限公司,国有,2012,AAA,0.1357,否,"贷后检查：企业订单量稳定，现金流充裕。

贷后检查：企业近期经营正常，无异常风险信号。",1108190.0,973385.0,6597,134805,A,9535309,201517,231767,3,42890085,1493159,100%,0,0,0,否,15118706,4863715,未命中,未命中,未命中,正常,335573,132509,143618,否,否,餐饮业,广州分行
False,否,测试企业_33_优质有限公司,合资,2016,A,0.0764,否,贷后检查：企业近期经营正常，无异常风险信号。,39814966.0,29620035.0,5034020,10194931,A,2572542,1941100,70066,2,6901293,2209510,100%,0,0,0,否,7130121,1380040,未命中,未命中,未命中,正常,323328,60644,71605,否,否,交通运输,深圳分行
False,否,测试企业_34_优质有限公司,外资,2010,AAA,0.0737,否,贷后检查：企业订单量稳定，现金流充裕。,13942862.0,12010714.0,901083,1932148,A,2739790,1222825,293567,2,46261083,3673689,100%,0,0,0,否,11166132,1952845,未命中,未命中,未命中,正常,132160,31305,25736,否,否,交通运输,上海分行
True,是,测试企业_35_风险有限公司,合资,2018,B,0.8858,是,"贷后检查：企业库存积压，销售回款放缓。

贷后检查：企业存在延迟付息情况，需关注。

贷后检查：企业实际控制人失联，风险陡增。",46029723.0,47989737.0,-1046991,-1960014,D,37556,-32899,686,9,12237923,831928,76%,3,10,879492,是,16769231,16217831,命中,命中,未命中,高风险,260923,226259,241231,是,是,交通运输,深圳分行
