is_risky,label,entityname,nature,firstcreditx_year,cred_level_desc,threshold,risk_flag,check_result,corp_oper_income_24m,corp_oper_expns_24m,corp_oper_diff_12m,corp_oper_diff_24m,taxes_level_cd,corp_curr_fin_asset_bal,corp_curr_fin_asset_bal_diff,total_avg_depst_bal_3m,n_ph_num4,n_ph_amt4,n_ph_amt2,unpayoff_mg_ratio,rep_overdue_cnt_3m,rep_overdue_cnt_24m,corp_curr_lab_amt,flag_8,creditamt,amtused,n_u0343_hit,n_ph_amt1_hit,n_ph_amt2_hit,tj_result,rep_crdt_card_limit,rep_crdt_card_avg_limit_6m,rep_crdt_card_used_limit,reserve_8,down30,industry_cd_desc,branchname
False,否,测试企业_0_优质有限公司,合资,2017,AA,0.1255,否,贷后检查：企业近期经营正常，无异常风险信号。,39969398.0,25454074.0,7217348,14515324,B,6857610,1105620,82816,2,34956807,4246645,100%,0,0,0,否,13132605,5215216,未命中,未命中,未命中,正常,443633,221498,132211,否,否,建筑业,上海分行
False,否,测试企业_1_优质有限公司,国有,2011,AAA,0.1126,否,"贷后检查：企业订单量稳定，现金流充裕。

贷后检查：企业近期经营正常，无异常风险信号。",44244901.0,29350994.0,7522984,14893907,A,7507630,822101,113174,4,32340893,1202458,100%,0,0,0,否,10387597,3559482,未命中,未命中,未命中,正常,150160,16765,67298,否,否,餐饮业,北京分行
False,否,测试企业_2_优质有限公司,国有,2021,AA,0.1536,否,贷后检查：企业近期经营正常，无异常风险信号。,44537910.0,31422945.0,6476334,13114965,A,2335023,835762,355241,2,46735899,825182,100%,0,0,0,否,10110915,2796068,未命中,未命中,未命中,正常,483583,172701,136312,否,否,交通运输,北京分行
False,否,测试企业_3_优质有限公司,国有,2014,A,0.1566,否,"贷后检查：企业订单量稳定，现金流充裕。

贷后检查：企业近期经营正常，无异常风险信号。",20776113.0,18297710.0,1204794,2478403,A,3739567,1283165,330431,4,30429552,4878188,100%,0,0,0,否,15800713,5795486,未命中,未命中,未命中,正常,410766,102198,92954,否,否,建筑业,深圳分行
False,否,测试企业_4_优质有限公司,国有,2022,AA,0.1064,否,"贷后检查：企业订单量稳定，现金流充裕。

贷后检查：企业近期经营正常，无异常风险信号。",44309383.0,35233265.0,4541036,9076118,B,4529928,1276902,347447,1,29360430,3199095,100%,0,0,0,否,2534765,642865,未命中,未命中,未命中,正常,139536,16033,63779,否,否,批发零售,北京分行
False,否,测试企业_5_优质有限公司,民营,2022,AAA,0.1021,否,贷后检查：企业订单量稳定，现金流充裕。,18894583.0,14990199.0,1965185,3904384,B,5138594,1105805,126590,2,45972457,2611757,100%,0,0,0,否,14492688,3860691,未命中,未命中,未命中,正常,327595,56425,91615,否,否,制造业,深圳分行
False,否,测试企业_6_优质有限公司,外资,2011,AAA,0.1016,否,"贷后检查：企业近期经营正常，无异常风险信号。

贷后检查：企业订单量稳定，现金流充裕。",24953087.0,17353497.0,3738962,7599590,B,6455412,597641,497170,2,48435582,805385,100%,0,0,0,否,19396163,7363108,未命中,未命中,未命中,正常,65970,24393,24552,否,否,交通运输,成都分行
False,否,测试企业_7_优质有限公司,民营,2020,AAA,0.1614,否,"贷后检查：企业订单量稳定，现金流充裕。

贷后检查：企业近期经营正常，无异常风险信号。",22599855.0,18260997.0,2093515,4338858,B,6612908,384720,135473,2,9848897,2391200,100%,0,0,0,否,13119983,2728773,未命中,未命中,未命中,正常,192337,53982,61592,否,否,建筑业,深圳分行
False,否,测试企业_8_优质有限公司,民营,2010,A,0.1963,否,"贷后检查：企业订单量稳定，现金流充裕。

贷后检查：企业近期经营正常，无异常风险信号。",15905809.0,9853876.0,3069917,6051933,B,1345477,1633278,60162,3,13445999,3492429,100%,0,0,0,否,1078623,180826,未命中,未命中,未命中,正常,208574,21932,96732,否,否,制造业,北京分行
False,否,测试企业_9_优质有限公司,外资,2017,AA,0.0434,否,"贷后检查：企业近期经营正常，无异常风险信号。

贷后检查：企业订单量稳定，现金流充裕。",19936514.0,14127372.0,2906871,5809142,A,1785294,657993,217655,3,40999650,3186641,100%,0,0,0,否,4499138,1532745,未命中,未命中,未命中,正常,342827,91693,48087,否,否,交通运输,成都分行
False,否,测试企业_10_优质有限公司,国有,2022,A,0.1534,否,"贷后检查：企业近期经营正常，无异常风险信号。

贷后检查：企业订单量稳定，现金流充裕。",36235514.0,29500036.0,3333263,6735478,A,4156733,1811848,82524,4,17430728,2443460,100%,0,0,0,否,19327686,3897883,未命中,未命中,未命中,正常,343586,85529,62698,否,否,批发零售,北京分行
True,是,测试企业_11_风险有限公司,外资,2013,B,0.8472,是,"贷后检查：企业库存积压，销售回款放缓。

贷后检查：企业实际控制人失联，风险陡增。

贷后检查：企业存在延迟付息情况，需关注。",24392620.0,23858619.0,282844,534001,C,33265,-116613,3710,5,35514259,2303480,72%,2,4,344127,是,3384169,3157076,命中,命中,命中,高风险,150988,122774,146037,否,是,批发零售,上海分行
False,否,测试企业_12_优质有限公司,国有,2019,A,0.122,否,贷后检查：企业近期经营正常，无异常风险信号。,46423020.0,31729185.0,7400710,14693835,A,3977159,1220588,365223,3,36167799,908302,100%,0,0,0,否,13874618,4380835,未命中,未命中,未命中,正常,298408,31454,70887,否,否,批发零售,北京分行
False,否,测试企业_13_优质有限公司,合资,2016,A,0.0891,否,贷后检查：企业订单量稳定，现金流充裕。,23308170.0,18683231.0,2230402,4624939,A,8026786,636646,60118,2,27432113,1732530,100%,0,0,0,否,19609581,3466055,未命中,未命中,未命中,正常,165499,42935,46622,否,否,交通运输,上海分行
False,否,测试企业_14_优质有限公司,民营,2013,A,0.1824,否,"贷后检查：企业订单量稳定，现金流充裕。

贷后检查：企业近期经营正常，无异常风险信号。",4254599.0,2612815.0,918808,1641784,B,5488483,1998189,412402,3,43079469,3592784,100%,0,0,0,否,17656738,6552122,未命中,未命中,未命中,正常,473963,213868,215121,否,否,餐饮业,北京分行
False,否,测试企业_15_优质有限公司,国有,2013,A,0.0509,否,"贷后检查：企业近期经营正常，无异常风险信号。

贷后检查：企业订单量稳定，现金流充裕。",17531677.0,13310204.0,2196034,4221473,A,3028721,711822,363139,1,35659896,2960216,100%,0,0,0,否,17089097,3872689,未命中,未命中,未命中,正常,404034,75842,63078,否,否,批发零售,广州分行
False,否,测试企业_16_优质有限公司,合资,2010,A,0.1552,否,贷后检查：企业订单量稳定，现金流充裕。,3058623.0,1959170.0,491688,1099453,A,8018598,1526680,481032,3,47716110,4052446,100%,0,0,0,否,3242048,591055,未命中,未命中,未命中,正常,148280,69487,46930,否,否,制造业,上海分行
False,否,测试企业_17_优质有限公司,国有,2018,AA,0.0982,否,"贷后检查：企业订单量稳定，现金流充裕。

贷后检查：企业近期经营正常，无异常风险信号。",43483269.0,35794853.0,3942592,7688416,B,2590230,861926,401180,4,46797424,4312245,100%,0,0,0,否,8715461,3059334,未命中,未命中,未命中,正常,365323,170903,113796,否,否,批发零售,北京分行
False,否,测试企业_18_优质有限公司,外资,2015,A,0.1385,否,贷后检查：企业订单量稳定，现金流充裕。,47485487.0,37714667.0,4799782,9770820,B,6279577,1679408,442328,3,25289745,2708484,100%,0,0,0,否,16518420,4446405,未命中,未命中,未命中,正常,311754,50783,129896,否,否,餐饮业,广州分行
False,否,测试企业_19_优质有限公司,国有,2014,AAA,0.1921,否,"贷后检查：企业近期经营正常，无异常风险信号。

贷后检查：企业订单量稳定，现金流充裕。",14061836.0,10068333.0,1987237,3993503,B,4436147,477807,51996,2,46783163,2097936,100%,0,0,0,否,14049596,3717327,未命中,未命中,未命中,正常,69083,21767,29525,否,否,交通运输,成都分行
True,是,测试企业_20_风险有限公司,民营,2010,CC,0.6813,是,"贷后检查：企业库存积压，销售回款放缓。

贷后检查：企业存在延迟付息情况，需关注。",37895813.0,56524723.0,-9366950,-18628910,D,15453,-247468,4921,8,25233289,1510836,75%,4,4,817738,是,6499440,5737332,未命中,命中,未命中,高风险,298516,255849,284063,是,否,餐饮业,深圳分行
True,是,测试企业_21_风险有限公司,合资,2021,C,0.683,是,"贷后检查：企业实际控制人失联，风险陡增。

贷后检查：企业存在延迟付息情况，需关注。",9935855.0,9641809.0,216253,294046,D,43431,-495152,718,5,40041399,4572560,58%,5,7,833634,是,7959073,7834797,命中,命中,命中,高风险,239597,199926,211294,是,否,餐饮业,上海分行
False,否,测试企业_22_优质有限公司,合资,2021,AAA,0.058,否,贷后检查：企业近期经营正常，无异常风险信号。,22287376.0,15875951.0,3183809,6411425,A,3104817,1311230,377170,4,6001187,838355,100%,0,0,0,否,13207859,4101182,未命中,未命中,未命中,正常,87824,37184,35385,否,否,批发零售,广州分行
False,否,测试企业_23_优质有限公司,民营,2010,A,0.1254,否,"贷后检查：企业近期经营正常，无异常风险信号。

贷后检查：企业订单量稳定，现金流充裕。",16434858.0,11362936.0,2468029,5071922,B,2139038,1281458,336864,1,12054035,1893595,100%,0,0,0,否,9430536,2761392,未命中,未命中,未命中,正常,66740,17576,16649,否,否,批发零售,成都分行
True,是,测试企业_24_风险有限公司,民营,2021,C,0.8294,是,"贷后检查：企业库存积压，销售回款放缓。

贷后检查：企业实际控制人失联，风险陡增。

贷后检查：企业涉及诉讼，已冻结部分账户。",45172172.0,50745579.0,-2869667,-5573407,D,40658,-307832,2881,8,49930777,880481,50%,4,8,218968,是,15065455,14377253,命中,未命中,命中,高风险,125496,116672,123450,是,是,计算机服务业,上海分行
False,否,测试企业_25_优质有限公司,外资,2011,AA,0.134,否,"贷后检查：企业近期经营正常，无异常风险信号。

贷后检查：企业订单量稳定，现金流充裕。",15237818.0,10870952.0,2155072,4366866,A,9773872,1059183,125154,1,22281560,1652514,100%,0,0,0,否,15626682,2937036,未命中,未命中,未命中,正常,200800,73144,66392,否,否,批发零售,上海分行
False,否,测试企业_26_优质有限公司,民营,2014,AA,0.0444,否,贷后检查：企业订单量稳定，现金流充裕。,25585000.0,18822812.0,3447127,6762188,B,3320981,1286018,87225,2,26171217,2247993,100%,0,0,0,否,2288485,674304,未命中,未命中,未命中,正常,320901,50692,138167,否,否,批发零售,广州分行
False,否,测试企业_27_优质有限公司,民营,2021,AA,0.04,否,"贷后检查：企业近期经营正常，无异常风险信号。

贷后检查：企业订单量稳定，现金流充裕。",42901402.0,27062560.0,7849423,15838842,A,9944681,302440,335482,4,6339106,3242435,100%,0,0,0,否,12766036,3172631,未命中,未命中,未命中,正常,267693,52172,77974,否,否,批发零售,成都分行
True,是,测试企业_28_风险有限公司,外资,2012,C,0.8959,是,"贷后检查：企业实际控制人失联，风险陡增。

贷后检查：企业存在延迟付息情况，需关注。

贷后检查：企业涉及诉讼，已冻结部分账户。",18893130.0,26756675.0,-3943000,-7863545,C,22178,-384371,1829,6,13677926,925176,58%,1,6,989710,是,13816585,12716350,未命中,命中,命中,高风险,226609,200476,206577,是,是,餐饮业,上海分行
True,是,测试企业_29_风险有限公司,外资,2014,CC,0.5897,是,"贷后检查：企业库存积压，销售回款放缓。

贷后检查：企业实际控制人失联，风险陡增。

贷后检查：企业涉及诉讼，已冻结部分账户。",24200820.0,26776791.0,-1245782,-2575971,D,40385,-220371,2329,10,43921282,4553580,76%,4,3,318964,是,9224742,8285521,命中,命中,命中,高风险,190565,154467,170910,是,是,餐饮业,北京分行
True,是,测试企业_30_风险有限公司,国有,2022,B,0.855,是,"贷后检查：企业实际控制人失联，风险陡增。

贷后检查：企业涉及诉讼，已冻结部分账户。

贷后检查：企业库存积压，销售回款放缓。",38809775.0,44920297.0,-2984979,-6110522,C,47978,-30218,2939,9,8636271,3965851,68%,3,4,128128,是,1531837,1392030,命中,未命中,命中,高风险,212569,174425,204274,否,否,计算机服务业,北京分行
False,否,测试企业_31_优质有限公司,国有,2016,A,0.05,否,贷后检查：企业订单量稳定，现金流充裕。,41322825.0,33877492.0,3805688,7445333,A,1058262,1653142,140590,1,14550716,4790136,100%,0,0,0,否,10681062,1743422,未命中,未命中,未命中,正常,499878,194013,225625,否,否,餐饮业,广州分行
