is_risky,label,entityname,nature,firstcreditx_year,cred_level_desc,threshold,risk_flag,check_result,corp_oper_income_24m,corp_oper_expns_24m,corp_oper_diff_12m,corp_oper_diff_24m,taxes_level_cd,corp_curr_fin_asset_bal,corp_curr_fin_asset_bal_diff,total_avg_depst_bal_3m,n_ph_num4,n_ph_amt4,n_ph_amt2,unpayoff_mg_ratio,rep_overdue_cnt_3m,rep_overdue_cnt_24m,corp_curr_lab_amt,flag_8,creditamt,amtused,n_u0343_hit,n_ph_amt1_hit,n_ph_amt2_hit,tj_result,rep_crdt_card_limit,rep_crdt_card_avg_limit_6m,rep_crdt_card_used_limit,reserve_8,down30,industry_cd_desc,branchname
True,是,测试企业_0_风险有限公司,外资,2014,CC,0.5923,是,贷后检查：企业涉及诉讼，已冻结部分账户。,40412953.0,49246916.0,-4366500,-8833963,D,7570,-288920,3565,6,32663438,4730923,73%,4,6,503215,是,6502752,6434876,命中,命中,未命中,高风险,124395,116926,108300,否,是,餐饮业,成都分行
False,否,测试企业_1_优质有限公司,民营,2017,A,0.0164,否,"贷后检查：企业近期经营正常，无异常风险信号。

贷后检查：企业订单量稳定，现金流充裕。",4400450.0,3005359.0,697212,1395091,A,3350472,233615,137623,1,10146737,1751146,100%,0,0,0,否,17923813,3934695,未命中,未命中,未命中,正常,156589,28585,32673,否,否,建筑业,上海分行
False,否,测试企业_2_优质有限公司,国有,2021,AAA,0.0576,否,"贷后检查：企业近期经营正常，无异常风险信号。

贷后检查：企业订单量稳定，现金流充裕。",38722032.0,26060368.0,6270328,12661664,B,8187182,297862,239988,2,14037366,2428230,100%,0,0,0,否,7868902,2268331,未命中,未命中,未命中,正常,101621,13784,30953,否,否,批发零售,上海分行
True,是,测试企业_3_风险有限公司,国有,2022,C,0.7749,是,贷后检查：企业库存积压，销售回款放缓。,9243038.0,13256192.0,-1958991,-4013154,C,20043,-319812,2352,6,16812776,2313914,76%,3,3,604613,是,4266661,4199274,命中,命中,命中,高风险,390573,324037,337924,是,是,餐饮业,深圳分行
False,否,测试企业_4_优质有限公司,合资,2019,AAA,0.1695,否,贷后检查：企业近期经营正常，无异常风险信号。,15759651.0,9917051.0,2908511,5842600,A,8727463,160470,188952,3,34931723,3476791,100%,0,0,0,否,16202359,5051446,未命中,未命中,未命中,正常,213867,92937,79712,否,否,餐饮业,广州分行
False,否,测试企业_5_优质有限公司,国有,2014,A,0.0502,否,贷后检查：企业近期经营正常，无异常风险信号。,35539307.0,27618755.0,3968954,7920552,A,3380885,864916,477628,3,15814502,1516375,100%,0,0,0,否,1207299,233078,未命中,未命中,未命中,正常,233037,66869,65305,否,否,建筑业,上海分行
True,是,测试企业_6_风险有限公司,民营,2010,B,0.6891,是,"贷后检查：企业实际控制人失联，风险陡增。

贷后检查：企业存在延迟付息情况，需关注。

贷后检查：企业库存积压，销售回款放缓。",16299070.0,20628969.0,-2071823,-4329899,C,26166,-192709,2317,8,30950493,1872828,70%,5,5,508118,是,19722041,16310200,命中,未命中,未命中,高风险,424142,408498,412287,是,否,建筑业,上海分行
False,否,测试企业_7_优质有限公司,国有,2010,AA,0.012,否,"贷后检查：企业近期经营正常，无异常风险信号。

贷后检查：企业订单量稳定，现金流充裕。",46748846.0,38541016.0,4055733,8207830,A,7551891,229793,158685,3,47977947,3920360,100%,0,0,0,否,15979098,4508353,未命中,未命中,未命中,正常,315052,80485,46218,否,否,建筑业,广州分行
True,是,测试企业_8_风险有限公司,外资,2012,B,0.7553,是,"贷后检查：企业库存积压，销售回款放缓。

贷后检查：企业存在延迟付息情况，需关注。",4065115.0,5868975.0,-968730,-1803860,D,42727,-307544,296,6,18692287,4610598,61%,1,8,868675,是,7356218,6507660,命中,未命中,命中,高风险,66431,53496,62834,是,是,建筑业,成都分行
False,否,测试企业_9_优质有限公司,外资,2020,AAA,0.1887,否,贷后检查：企业近期经营正常，无异常风险信号。,22824206.0,16319638.0,3335271,6504568,B,3117469,162148,285453,2,32172290,1796605,100%,0,0,0,否,5157551,1953499,未命中,未命中,未命中,正常,243809,84323,82269,否,否,餐饮业,上海分行
False,否,测试企业_10_优质有限公司,外资,2014,A,0.0274,否,贷后检查：企业订单量稳定，现金流充裕。,10652548.0,8545074.0,1110921,2107474,B,2466524,1090048,469100,2,46692556,535224,100%,0,0,0,否,10912488,2219158,未命中,未命中,未命中,正常,305584,33609,67465,否,否,交通运输,上海分行
False,否,测试企业_11_优质有限公司,民营,2016,AAA,0.191,否,贷后检查：企业订单量稳定，现金流充裕。,47347547.0,32784057.0,7261627,14563490,A,2916142,976476,416841,1,45575620,3644548,100%,0,0,0,否,8664235,1570924,未命中,未命中,未命中,正常,211772,24352,68106,否,否,交通运输,上海分行
False,否,测试企业_12_优质有限公司,外资,2016,AAA,0.0804,否,"贷后检查：企业近期经营正常，无异常风险信号。

贷后检查：企业订单量稳定，现金流充裕。",36298847.0,25128705.0,5647079,11170142,A,6286508,529614,416984,3,20443207,1267977,100%,0,0,0,否,4314278,1516521,未命中,未命中,未命中,正常,99945,43009,18858,否,否,计算机服务业,北京分行
False,否,测试企业_13_优质有限公司,民营,2016,A,0.0671,否,贷后检查：企业近期经营正常，无异常风险信号。,2083825.0,1695458.0,198542,388367,A,2864685,124149,431425,2,26349408,3828240,100%,0,0,0,否,11230973,1766543,未命中,未命中,未命中,正常,134628,40866,22560,否,否,制造业,成都分行
False,否,测试企业_14_优质有限公司,民营,2017,AAA,0.0394,否,贷后检查：企业订单量稳定，现金流充裕。,32142857.0,21625564.0,5195430,10517293,A,1848690,239823,297434,2,12763408,900754,100%,0,0,0,否,7678585,2153743,未命中,未命中,未命中,正常,442514,116854,214791,否,否,交通运输,深圳分行
False,否,测试企业_15_优质有限公司,民营,2010,A,0.0833,否,贷后检查：企业近期经营正常，无异常风险信号。,17854470.0,14304359.0,1774105,3550111,A,3574919,791478,215042,1,10647732,4583699,100%,0,0,0,否,9315269,3279724,未命中,未命中,未命中,正常,132093,40513,14794,否,否,餐饮业,成都分行
False,否,测试企业_16_优质有限公司,合资,2017,A,0.1433,否,"贷后检查：企业近期经营正常，无异常风险信号。

贷后检查：企业订单量稳定，现金流充裕。",15149984.0,13400237.0,958366,1749747,B,7201248,1118656,492353,4,17749003,3544618,100%,0,0,0,否,14065416,3751261,未命中,未命中,未命中,正常,231579,27990,25030,否,否,交通运输,上海分行
True,是,测试企业_17_风险有限公司,国有,2017,C,0.6756,是,"贷后检查：企业实际控制人失联，风险陡增。

贷后检查：企业涉及诉讼，已冻结部分账户。",5919828.0,7936941.0,-1052298,-2017113,D,42856,-407873,3986,5,40635735,1999182,73%,3,9,789635,是,12589883,12195239,未命中,命中,命中,高风险,425290,413119,348040,是,是,交通运输,成都分行
False,否,测试企业_18_优质有限公司,外资,2022,A,0.0107,否,贷后检查：企业订单量稳定，现金流充裕。,21519197.0,18080032.0,1635938,3439165,B,8557237,1122067,193479,1,15476541,3784002,100%,0,0,0,否,9297592,1310424,未命中,未命中,未命中,正常,67996,15663,26118,否,否,建筑业,深圳分行
False,否,测试企业_19_优质有限公司,外资,2021,AA,0.0123,否,贷后检查：企业近期经营正常，无异常风险信号。,11487629.0,7406401.0,2007119,4081228,A,2861985,1862990,457966,3,37621904,602542,100%,0,0,0,否,15523450,2484488,未命中,未命中,未命中,正常,356687,160109,162650,否,否,交通运输,上海分行
True,是,测试企业_20_风险有限公司,合资,2022,B,0.871,是,贷后检查：企业实际控制人失联，风险陡增。,36194041.0,49616932.0,-6691767,-13422891,C,1901,-310281,4156,10,41056409,3831883,78%,5,8,370190,是,6456518,5344033,未命中,未命中,命中,高风险,410030,340624,360646,否,是,建筑业,上海分行
False,否,测试企业_21_优质有限公司,合资,2021,AA,0.1625,否,"贷后检查：企业订单量稳定，现金流充裕。

贷后检查：企业近期经营正常，无异常风险信号。",33149125.0,22150449.0,5553237,10998676,A,5136934,1652982,167638,2,21737190,4842770,100%,0,0,0,否,14896993,2578008,未命中,未命中,未命中,正常,297945,46145,133975,否,否,批发零售,成都分行
False,否,测试企业_22_优质有限公司,外资,2020,A,0.0531,否,"贷后检查：企业近期经营正常，无异常风险信号。

贷后检查：企业订单量稳定，现金流充裕。",16261811.0,13663023.0,1234457,2598788,B,6266574,174003,457915,3,12273011,1471303,100%,0,0,0,否,19086148,4434368,未命中,未命中,未命中,正常,498387,227632,107893,否,否,建筑业,成都分行
False,否,测试企业_23_优质有限公司,外资,2011,AAA,0.1746,否,"贷后检查：企业订单量稳定，现金流充裕。

贷后检查：企业近期经营正常，无异常风险信号。",39824179.0,27145622.0,6402222,12678557,B,2263186,1738830,448091,4,18523893,4177006,100%,0,0,0,否,14186262,3220948,未命中,未命中,未命中,正常,428508,179252,129804,否,否,交通运输,北京分行
False,否,测试企业_24_优质有限公司,外资,2020,AA,0.1964,否,贷后检查：企业订单量稳定，现金流充裕。,24619771.0,21619258.0,1419502,3000513,B,4804727,373229,102233,2,34492949,2187425,100%,0,0,0,否,15712509,3191902,未命中,未命中,未命中,正常,375584,49956,93106,否,否,交通运输,成都分行
False,否,测试企业_25_优质有限公司,国有,2013,AAA,0.147,否,"贷后检查：企业订单量稳定，现金流充裕。

贷后检查：企业近期经营正常，无异常风险信号。",39818127.0,29695807.0,5029032,10122320,B,6710642,1392895,396039,2,18065848,3878184,100%,0,0,0,否,3611489,1364389,未命中,未命中,未命中,正常,304458,130354,78811,否,否,计算机服务业,上海分行
True,是,测试企业_26_风险有限公司,民营,2010,B,0.8955,是,"贷后检查：企业实际控制人失联，风险陡增。

贷后检查：企业涉及诉讼，已冻结部分账户。

贷后检查：企业库存积压，销售回款放缓。",25052288.0,32465014.0,-3782604,-7412726,D,41757,-100049,3880,9,22027551,4102353,76%,5,6,327526,是,7141297,6953848,命中,命中,未命中,高风险,222312,187986,203384,是,是,批发零售,北京分行
False,否,测试企业_27_优质有限公司,国有,2022,AA,0.0914,否,"贷后检查：企业近期经营正常，无异常风险信号。

贷后检查：企业订单量稳定，现金流充裕。",20082839.0,17566207.0,1344872,2516632,A,4630416,1185774,246592,1,34379836,2085956,100%,0,0,0,否,19961160,2836047,未命中,未命中,未命中,正常,362811,131295,157114,否,否,制造业,深圳分行
False,否,测试企业_28_优质有限公司,合资,2014,A,0.1726,否,贷后检查：企业近期经营正常，无异常风险信号。,14387100.0,11098988.0,1685493,3288112,A,3324832,1779404,349954,2,14170385,1182333,100%,0,0,0,否,9452022,1799475,未命中,未命中,未命中,正常,498504,144124,72633,否,否,计算机服务业,广州分行
False,否,测试企业_29_优质有限公司,合资,2017,A,0.0292,否,"贷后检查：企业近期经营正常，无异常风险信号。

贷后检查：企业订单量稳定，现金流充裕。",2031445.0,1478453.0,370096,552992,A,8696056,948223,453396,2,10371632,1210897,100%,0,0,0,否,4903608,688814,未命中,未命中,未命中,正常,116539,48435,11767,否,否,建筑业,北京分行
False,否,测试企业_30_优质有限公司,外资,2010,A,0.1691,否,贷后检查：企业近期经营正常，无异常风险信号。,22872280.0,15068073.0,3986577,7804207,A,2836693,906289,264190,2,23590418,3337395,100%,0,0,0,否,17823550,2559958,未命中,未命中,未命中,正常,475813,221494,167566,否,否,餐饮业,成都分行
False,否,测试企业_31_优质有限公司,国有,2022,A,0.1008,否,贷后检查：企业近期经营正常，无异常风险信号。,4633845.0,4102425.0,181520,531420,A,7513936,986816,493187,4,48300883,1379793,100%,0,0,0,否,11724579,2977801,未命中,未命中,未命中,正常,445789,114425,163760,否,否,计算机服务业,深圳分行
True,是,测试企业_32_风险有限公司,合资,2016,C,0.5166,是,"贷后检查：企业库存积压，销售回款放缓。

贷后检查：企业实际控制人失联，风险陡增。

贷后检查：企业存在延迟付息情况，需关注。",20953774.0,23112249.0,-1170063,-2158475,C,4380,-436028,2339,5,39545637,3834525,58%,4,5,307765,是,2808028,2509340,命中,命中,命中,高风险,189685,155915,167553,否,是,批发零售,上海分行
False,否,测试企业_33_优质有限公司,合资,2022,AAA,0.1724,否,"贷后检查：企业订单量稳定，现金流充裕。

贷后检查：企业近期经营正常，无异常风险信号。",47525782.0,39997688.0,3731920,7528094,A,2975557,1896384,194993,2,13394307,1708793,100%,0,0,0,否,10961942,3697544,未命中,未命中,未命中,正常,205759,48506,30565,否,否,建筑业,广州分行
False,否,测试企业_34_优质有限公司,国有,2020,A,0.1457,否,贷后检查：企业近期经营正常，无异常风险信号。,41966258.0,36851747.0,2656935,5114511,B,4339784,1111277,251752,3,18918202,1937837,100%,0,0,0,否,3834009,537134,未命中,未命中,未命中,正常,445008,217303,80547,否,否,交通运输,广州分行
True,是,测试企业_35_风险有限公司,国有,2018,B,0.83,是,"贷后检查：企业存在延迟付息情况，需关注。

贷后检查：企业实际控制人失联，风险陡增。

贷后检查：企业库存积压，销售回款放缓。",5550168.0,6826707.0,-661252,-1276539,D,3138,-67685,255,7,38804759,1602710,58%,2,8,665436,是,10486837,9961424,未命中,命中,未命中,高风险,270239,236492,239127,是,是,餐饮业,广州分行
